"model","feature","value","price"
"Fiesta","age","1",23532.7304015296
"Fiesta","age","2",20557.6739130435
"Fiesta","age","3",17327.9171270718
"Fiesta","age","4",14672.9615384615
"Fiesta","age","5",12204.9736842105
"Fiesta","age","6",11137.9484536082
"Fiesta","age","7",10360.2786885246
"Fiesta","age","8",7561.30769230769
"Fiesta","age","9",6532.11111111111
"Fiesta","age","10",5602.63636363636
"Fiesta","age","11",4413.63636363636
"Fiesta","age","12",3748.75
"Fiesta","age","13",4759.33333333333
"Fiesta","age","14",3880
"Fiesta","age","15",2435
"Fiesta","age","16",4689
"Fiesta","age","17",1490
"Fiesta","fuelType","Diesel",15079.8653846154
"Fiesta","fuelType","Petrol",18904.4245374878
"Fiesta","Transmission","Automatic",19477.9024390244
"Fiesta","Transmission","Manual",14577.4688679245
"Fiesta","Transmission","Semi_Auto",21326.205078125
"Focus","age","0",32721.7573529412
"Focus","age","1",29628.5939675174
"Focus","age","2",23265.9117647059
"Focus","age","3",19631.2717391304
"Focus","age","4",17516.6832061069
"Focus","age","5",16217.6014492754
"Focus","age","6",13502.8571428571
"Focus","age","7",11695.3823529412
"Focus","age","8",11386.1428571429
"Focus","age","9",10599
"Focus","fuelType","Diesel",20755.6870451237
"Focus","fuelType","Petrol",24976.0997229917
"Focus","Transmission","Automatic",26267.4981818182
"Focus","Transmission","Manual",20439.312788906
"Focus","Transmission","Semi_Auto",24336.5463917526
"Kuga","age","0",35423.7528089888
"Kuga","age","1",27663.8640226629
"Kuga","age","2",21412.9672131148
"Kuga","age","3",18224.6081081081
"Kuga","age","4",15239.7687296417
"Kuga","age","5",12951.6219512195
"Kuga","age","6",11542.862745098
"Kuga","age","7",9826.41025641026
"Kuga","age","8",9641
"Kuga","age","9",8949.77777777778
"Kuga","age","10",8385
"Kuga","age","11",6995
"Kuga","age","12",4795
"Kuga","age","13",3888.33333333333
"Kuga","age","14",4453.6
"Kuga","age","15",3725
"Kuga","fuelType","Diesel",19338.7939464494
"Kuga","fuelType","Petrol",21744.3346153846
"Kuga","Transmission","Automatic",23704.7447916667
"Kuga","Transmission","Manual",15688.8721311475
"Kuga","Transmission","Semi_Auto",24016.2181818182
